Comments,Image,Avatar_URL,Date of Review,Name of Reviewer,Location,phmbo,phmbo1,qwuub_URL,Comment Title,Date of Stay,Response from hotel staff,Response time,Response comment,
"Hotel was ok wasn’t great,  but wasn’t particularly bad but felt dated.   We had to check out of the hotel a hour after we checked in as my pregnant wife wasn’t feeling well unfortunately.  Absolutely no fault of the hotels and I didn’t expect a refund or anything in return but as I explained to women who seemed to be in charge behind reception ( dark hair lady, noticeably older lady than the rest) she just grabbed my key card and said “ok fine”and walked away didn’t even make eye contact with me. She came across very rude   Would I stay here again or recommend it ? - No",,https://www.tripadvisor.co.uk/Profile/M1580MSneill,Neil l wrote a review Jan 2023,Neil l,,1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r876763295-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Manners cost nothing !,Date of stay: January 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 29 Jan 2023",Responded 29 Jan 2023,"Dear M1580MSneill  On behalf of the entire hotel team, we want to thank you for sharing your experiences with us.   We are sorry you did not get chance to stay overnight with us and I do hope your wife is feeling much better now.  We apologize for the disappointing aspects of your stay, and the service provided during check out as this is something we pride ourselves on and we will share this with the entire team as a way of improving.   The hotel has been recently refurbished in the style of a Victoria heritage and most of our guests love the design.  ",
"Great weekend at this lovely historic hotel, if you are a light sleeper ask for a quiet room, I’m so glad we did because you could still hear the night life going on not far from here with all the pubs, bars clubs around the harbour area. However it wasn’t too bad and if you shut the window it takes away y the noise. Our room was really spacious and as I was with my Son we had a double bed each, really comfy, lovely pillows and bedding,the room over looked a courtyard. There is a coffee machine with pods if you like coffee, everything you need in your room. Ironing board, hairdryer, plenty of towels. The bathroom could do with another rail and more hooks to hang the wet towels and even better would be a heated towel rail, the bathroom was a bit cold for me. I found the decor a",,https://www.tripadvisor.co.uk/Profile/milliemoo2015,milliemoo2015 wrote a review Jan 2023,milliemoo2015,"Newquay, United Kingdom",126 contributions,16 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r875913557-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Stunning historic hotel in a great location,Date of stay: January 2023,,,,
"Impressive building inside and out. Overall impression was clean and well maintained.  Great location for the theatre and town for the shops.     We had a slow check in with different fire alarms sounding. However these things happen and the check in team were efficient as they could of been.   The room was standard,  clean and had everything you needed. A good size. Again immaculately clean.  The house keeping team are obviously exceptional.   What did let the stay down was the bar area sat 14th approx 5pm. It was untidy, empty glasses all over the bar and tables not in order.  We took seats at the bar around the amidst dirty coffee cups and glasses and fruit in bowls left to get warm. I wanted a blue lagoon cocktail but they did not have this nor could they think of something",,https://www.tripadvisor.co.uk/Profile/KarenTurnball,KarenTurnball wrote a review Jan 2023,KarenTurnball,"Appledore, United Kingdom",141 contributions,68 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r875302107-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Stayed in more welcoming hotels than here,Date of stay: January 2023,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 18 Jan 2023",Responded 18 Jan 2023,"Dear Karen   On behalf of the entire hotel team, we want to thank you for sharing your experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  We apologize for the disappointing aspects of your stay, and we have raised your concerns with Miller & Carter who operate the Restaurant & Bar and they also apologize.  We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon.",
"We were a bit reticent about staying here due to recent reviews, however the room was great, clean and everything worked, free wifi as Bonvoy members. Checking in was quick and easy, good secure parking under the Hotel (No electric  chargers though). We had drinks in the bar in the afternoon, that was quiet and very pleasant. in the evening we ate in Miller and Carter, they had some staff who didn't turn up, however the food (Rump steaks I recommend) were first rate and the service from all staff was excellent as well. Breakfast was good also, good selection and hot food , was hot! Overall a fantastic experience all around , and we will definitely stay here again.",,https://www.tripadvisor.co.uk/Profile/JBlargo,JBlargo wrote a review Jan 2023,JBlargo,"Wimborne Minster, United Kingdom",133 contributions,30 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r873696354-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Pre-Christmas stay,Date of stay: December 2022,,,,
This is an exquisitely beautiful historic building with the benefit of modern design and luxury. My elderly mum in law and I spent 3 nights over Christmas 2022 here and we had the most wonderful caring service from the staff. Especially the wonderful Marewan on reception who came to our assistance several times at all times of the day and night. I’m disabled and MIL is frail and his kindness and support made our stay safe comfortable and special. A special touch was being presented with a cute teddy bear and a Christmas stocking filled with sweets and novelties on Christmas morning. This is a wonderful place and the only place I ever stay when visiting Bristol. ,,https://www.tripadvisor.co.uk/Profile/jaynehP2216TO,Jayne H wrote a review Dec 2022,Jayne H,"Liverpool, United Kingdom",1 contribution,,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r872993732-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Magical Christmas at Bristol Royal ,Date of stay: December 2022,,,,
"The Marriot gave us a lovely welcome. Our room was OK - it smelt a bit Shake & Vac, but we weren't in it much, so no big problems really. There are coffee pods and tea making facilities. Comfy bed and nice toiletries.  The restaurant is a Miller and Carter and is absolutely fine, both for main meals (if you are a red wine drinker, the Malbec is very good). and for breakfast. Good coffee too - always welcome for us. Friendly and efficient staff.   I'm Coeliac and I was very well looked after indeed. We were happy and we'd stay there again.",,https://www.tripadvisor.co.uk/Profile/168mw,Margo W wrote a review Nov 2022,Margo W,"London, United Kingdom",43 contributions,12 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r869676984-Bristol_Marriott_Royal_Hotel-Bristol_England.html,We enjoyed our stay,Date of stay: November 2022,,,,
"Beautiful classy hotel.  Really nice.  Amazing location.  Parking is perfect, safe and £17 per 24 hours.  Breakfast is amazing and worth the money. Rooms are nice, lovley bathroom. Nice bar. I’ll be back. Close to all the bars, restaurants and water front.",,https://www.tripadvisor.co.uk/Profile/Deann698777666544111,dean wrote a review Nov 2022,dean,"Rojales, Spain",60 contributions,19 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r868567746-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Beautiful and classy hotel. Great location.,Date of stay: November 2022,,,,
"Positives - Great location - Lovely building  Negatives  - No free wifi, with the price that is paid to stay here you would at least expect free wifi throughout the hotel - Water was only lukewarm in shower",,https://www.tripadvisor.co.uk/Profile/Rich_Wales,Rich_Wales wrote a review Nov 2022,Rich_Wales,South Wales,4 contributions,1 helpful vote,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r868393834-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Few areas for improvement,Date of stay: November 2022,,,,
"Our favourite hotel in Bristol, excellent as always.  Only disappointment they do not do a Bloody Mary, no tomato juice or Worcestershire Sauce. Will forgive them that.  Rooms and service excellent as always.  Perfect for the city centre. Extra cost for parking is expensive, but without it parking in Bristol is difficult.",,https://www.tripadvisor.co.uk/Profile/OnAir54668035241,Ellie wrote a review Nov 2022,Ellie,"Weymouth, United Kingdom",4 contributions,2 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r868332200-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Excellent as always,Date of stay: November 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 13 Nov 2022",Responded 13 Nov 2022,"Excellent!  On behalf of the entire hotel team, we want to thank you for sharing your most memorable experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  It is always encouraging to hear positive feedback and I am so pleased to read you found us excellent as always  Sorry about the Bloody Mary I will bring this up with Miller and Carter to see if they will add it to the menu.  We appreciate you taking the time to share your feedback, and we look forward to seeing you again soon.",
"Stayed one night in what was supposed to be a family suite. It was actually 2 double beds wedged together - without bedside tables which meant books, phones etc had to be put on the floor. The room was tired and in need of modernisation and redecoration (scuffed walls and skirting and mould on the bathroom sealant). Also the windows were dirty and there was quite a bit of dust on surfaces. In terms of value etc it was poor. Not impressed and would not return.",,https://www.tripadvisor.co.uk/Profile/Freedom140901,DPIJ wrote a review Nov 2022,DPIJ,,10 contributions,2 helpful votes,https://www.tripadvisor.co.uk/ShowUserReviews-g186220-d192930-r868036285-Bristol_Marriott_Royal_Hotel-Bristol_England.html,Not the best,Date of stay: October 2022,"Response from James Laverick, General Manager at Bristol Marriott Royal Hotel
Responded 13 Nov 2022",Responded 13 Nov 2022,"Freedom140901  On behalf of the entire hotel team, we want to thank you for sharing your experiences with us during your recent stay at the Bristol Marriott Royal Hotel.  The hotel has been upgraded recently in the style that complements our Victorian heritage we do appreciate everyone has different tastes when it comes decor as you can see from previous reviews this has gone down well with the majority of guests who stay with us.  We apologize for the disappointing aspects of your stay, and we are looking into this with the relevant departments.     We appreciate you taking the time to share your feedback and staying with us, and we look forward to seeing you again soon.",
